代號,補習班,班址,電話,立案文號,立案日期
42202108090001,美學苑有限公司附設臺中市私立美學苑整體造型短期補習班大里分班,臺中市大里區國光路二段567號1-2樓,(04)24062525,中市教終字第1100055194號,2021-08-09
42202107170001,臺中市私立程育文理短期補習班,"臺中市南屯區大業路583號1-2 樓",(04)22511157,中市教終字第1100053380號,2021-07-21
42202107090001,臺中市私立路德英語短期補習班,臺中市豐原區同安街66號1-2樓,(04)25156608,中市教終字第1100051286號,2021-07-19
42202107120001,臺中市私立瑪琳英語短期補習班,臺中市豐原區中興路200號1-2樓,(04)25263229,中市教終字第1100052451號,2021-07-19
42202107200002,臺中市私立品揚文理短期補習班,"臺中市北屯區豐樂路15之8號,使用樓層1-4樓",(04)24228933,中市教終字第1100052263號,2021-07-19
42202107190001,美學苑有限公司附設臺中市私立美學苑美容短期補習班沙鹿分班,臺中市沙鹿區臺灣大道六段777號2-5樓,(04)26310022,中市教終字第1100052462號,2021-07-19
42202107200001,臺中市私立博盛文理短期補習班,北屯區臺中市北屯區昌平路2段11之7號(使用樓層:1-2樓),0975294214,中市教終字第1100046708號,2021-07-12
42202107060001,臺中市私立劍聲文理美術短期補習班,臺中市西屯區大墩十九街190號1-3樓,(04)23296853,中市教終字第1100048357號,2021-07-06
42202106240003,何嘉仁文教事業股份有限公司附設臺中市私立日光文理短期補習班,臺中市豐原區自強南街66號3樓及66號4樓,(04)25296217,中市教終字第1100047441號,2021-07-05
42202106300001,臺中市私立宸安文理短期補習班,臺中市大甲區永順街9號1樓,04-26875226,中市教終字第1100048805號,2021-07-01
42202106280001,臺中市私立一心文理短期補習班,臺中市東區樂業路266號2樓,(04)22138716,中市教終字第1100045883號,2021-06-28
42202106240001,臺中市私立柯名陽電研文理短期補習班,臺中市中區綠川西街85號7樓-1,0920177991,中市教終字第1100045281號,2021-06-24
42202106240002,約書亞探索體驗有限公司附設臺中市私立約書亞文理短期補習班軍功分班,臺中市北屯區軍功路1段486號(使用樓層:2樓),(04)24371531,中市教終字第1100039833號,2021-06-24
42202106230001,美學苑有限公司附設臺中市私立美學苑整體造型短期補習班太平分班,臺中市太平區新福路28號1-3樓,04-23953311,中市教終字第1100045885號,2021-06-23
42202106090001,臺中市私立特斯拉文理短期補習班,臺中市豐原區中正路33號4樓,(04)25131077,中市教終字第1100043549號,2021-06-22
42202106220001,臺中市私立博成文理短期補習班,臺中市烏日區中華路93號1-3樓,(04)23363315,中市教終字第1100045032號,2021-06-22
42202106170001,臺中市私立翊志文理短期補習班,臺中市西屯區中康街103號1-2樓,0952036559,中市教終字第1100040667號,2021-06-18
42202106150001,臺中市私立晟名文理短期補習班,臺中市西屯區文中路37號1-3樓,04-23177618,中市教終字第1100040668號,2021-06-15
42202106070001,臺中市私立承宣文理短期補習班,台中市大雅區雅潭路4段771號1-3樓,(04)25677222,中市教終字第1100041512號,2021-06-08
42202106030001,臺中市私立科林文理短期補習班,臺中市西屯區成都路190號1-3樓,(04)23151215,中市教終字第1100036449號,2021-06-03
42202105310001,臺中市私立新劍聲文理美術短期補習班,臺中市西屯區大祥街137號1樓、夾層、2樓,(04)-23108320,中市教終字第1100040152號,2021-05-31
42202105240001,臺中市私立慧臻文理短期補習班,臺中市大里區五福二街61號1-4樓,0912-600551,中市教終字第1100037857號,2021-05-24
42202105170001,臺中市私立禾晨文理短期補習班,臺中市后里區三豐路三段1082巷82號1-2樓,(04)25589131,中市教終字第1100035581號,2021-05-17
42202105100002,臺中市私立天堂鳥文理技藝短期補習班新光分班,臺中市太平區新興二街60號1-2樓,(04)23958889,中市教終字第1100031789號,2021-05-10
42202105100001,臺中市私立九揚文理短期補習班,臺中市西屯區大隆路82號1-2樓,(04)23281687,中市教終字第1100032904號,2021-05-10
42202105050001,臺中市私立新德惠文理短期補習班,臺中市太平區新平路二段131號1-2樓,(04)22770832,中市教終字第1100029256號,2021-05-05
42202105030001,臺中市私立達文文理短期補習班內埔分班,臺中市后里區文化路39號1-2樓,(04)25566651,中市教終字第1100030811號,2021-05-03
42202105030002,臺中市私立藍衫升大文理短期補習班,臺中市烏日區中山路一段507號1-2樓,(04)23380372,中市教終字第1100027306號,2021-05-03
42202104220001,臺中市私立南陽冠鈞文理技藝短期補習班,臺中市豐原區自強街68號1-4樓,(04)25296789,中市教終第1100029946號,2021-05-03
42202104080002,臺中市私立秧絃音樂短期補習班,臺中市南屯區大墩十八街9號1-2樓,(04),中市教終字第1100028523號,2021-04-28
42202104210001,臺中市私立曜碩文理短期補習班,臺中市北區英士路97號(使用樓層:1-3樓),(04)22066818,中市教終字第1100023431號,2021-04-21
42202103190001,愛薇教育事業有限公司附設臺中市私立愛薇文理短期補習班,臺中市南屯區公益路二段376號1-2樓,(04)22515211,中市教終字第1100026372號,2021-04-21
42202105040001,柏克萊文教事業有限公司附設臺中市私立白老師文理短期補習班,臺中市北屯區崇德路三段666號(使用樓層:1樓及夾層),(04)24229556,中市教終字第1100026659號,2021-04-20
42202105040002,聯強教育股份有限公司附設私立聯聚文理短期補習班,"臺中市北屯區軍功路一段482號,使用樓層1-4樓",(04)24350000,中市教終字第1100023591號,2021-04-16
42202104150001,臺中市私立烏鷺圍棋短期補習班,臺中市西區三民路一段159號2樓,(04)23751519,中市教終字第1100022320號,2021-04-15
42202104140001,臺中市私立樂思禮文理技藝短期補習班,臺中市太平區樹孝路274巷40號1-2樓,0919-942022,中市教終字第1100024994號,2021-04-14
